NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
532,76291,305495,305495,76291,0,23646669
533,70376,281178,281178,70376,0,22021783
534,41352,165774,165774,41352,0,12511360
535,77780,310966,310966,77780,0,23730589
536,1585,6308,6308,1585,0,509367
537,10399,41655,41655,10399,0,3551240
538,74768,298914,298914,74768,0,22525886
539,27685,111103,111103,27685,0,8645493
540,14913,59761,59761,14913,0,4284881
541,50451,201314,201314,50451,0,14612571
542,14951,59873,59873,14951,0,4655941
543,28511,113990,113990,28511,0,8253381
544,29529,117871,117871,29529,0,8212736
545,1577,6312,6312,1577,0,448839
546,241,953,953,241,0,69300
547,105105,419958,419958,105105,0,32052684
548,149360,597401,597401,149360,0,49448351
549,220,918,918,220,0,81581
550,64151,256875,256875,64151,0,19844254
551,51947,207815,207815,51947,0,15258198
552,5920,23658,23658,5920,0,1583657
553,54936,220010,220010,54936,0,15841251
554,107649,430422,430422,107649,0,33074342
555,86668,346486,346486,86668,0,27773944
556,31467,125953,125953,31467,0,8855147
557,12974,51896,51896,12974,0,3468782
558,69549,277926,277926,69549,0,21838445
559,2744,10955,10955,2744,0,787735
560,19835,79392,79392,19835,0,6225563
561,10846,43429,43429,10846,0,3029885
562,2184,8784,8784,2184,0,783349
563,7761,31031,31031,7761,0,2130160
564,10595,42175,42175,10595,0,2855612
565,49980,200162,200162,49980,0,14433913
566,6124,24619,24619,6124,0,1962905
567,91715,366657,366657,91715,0,28002603
568,1417,5531,5531,1417,0,413751
569,144602,578379,578379,144602,0,51138444
570,77103,308115,308115,77103,0,23556024
571,14614,57981,57981,14614,0,3986629
572,2452,9899,9899,2452,0,684517
573,36399,145399,145399,36399,0,10657814
574,14231,56796,56796,14231,0,3825807
575,52117,208663,208663,52117,0,15569023
576,17354,69456,69456,17354,0,4955361
577,1887,7611,7611,1887,0,592409
578,27399,109199,109199,27399,0,7735241
579,20934,83548,83548,20934,0,6393694
580,2421,9683,9683,2421,0,695335
581,61867,247137,247137,61867,0,17897432
582,32499,130117,130117,32499,0,9829435
583,82811,331046,331046,82811,0,24946695
584,243,967,967,243,0,92107
585,51082,203856,203856,51082,0,14894448
586,26647,106801,106801,26647,0,7605999
587,173507,693661,693661,173507,0,56830077
588,162832,650911,650911,162832,0,53497555
589,22479,89867,89867,22479,0,7176166
590,27961,111785,111785,27961,0,8032031
591,78461,314054,314054,78461,0,24917162
592,20317,80829,80829,20317,0,6137256
593,33450,133523,133523,33450,0,10004585
594,63435,254080,254080,63435,0,18226678
595,4941,19608,19608,4941,0,1405583
596,25737,102522,102522,25737,0,7653661
597,1105,4357,4357,1105,0,326907
598,5331,21168,21168,5331,0,1435994
599,39721,159109,159109,39721,0,11807837
600,47701,190913,190913,47701,0,14706433
601,75210,300547,300547,75210,0,22634953
602,68871,275768,275768,68871,0,21149251
603,24465,97807,97807,24465,0,7783780
604,12666,50661,50661,12666,0,3703582
605,15930,63804,63804,15930,0,4575237
606,35738,142928,142928,35738,0,10517753
607,53551,214026,214026,53551,0,16642436
608,64849,259244,259244,64849,0,19726708
609,115380,461442,461442,115380,0,35457430
610,28733,114914,114914,28733,0,8194900
611,23909,95578,95578,23909,0,7495178
612,29595,118470,118470,29595,0,8226772
613,6064,24396,24396,6064,0,1807346
614,5851,23451,23451,5851,0,1686876
615,24765,98671,98671,24765,0,7504536
616,29830,119458,119458,29830,0,8630873
617,18449,73428,73428,18449,0,5290163
618,473,1834,1834,473,0,169009
619,10942,43776,43776,10942,0,2941871
620,20351,81401,81401,20351,0,6338723
621,77993,312197,312197,77993,0,23838778
622,41011,164143,164143,41011,0,12214570
623,59310,236978,236978,59310,0,17440697
624,2367,9310,9310,2367,0,661124
625,9245,36817,36817,9245,0,2484845
626,30453,121796,121796,30453,0,8341686
627,21816,87208,87208,21816,0,6303342
628,7059,28209,28209,7059,0,1905009
629,34980,139572,139572,34980,0,11212211
630,51642,206590,206590,51642,0,15494167
631,26631,106686,106686,26631,0,8028522
632,138031,552397,552397,138031,0,43942102
633,12003,47884,47884,12003,0,3593054
634,107233,428655,428655,107233,0,32241284
635,66941,267542,267542,66941,0,20724681
636,589,2366,2366,589,0,197957
637,77652,310486,310486,77652,0,23440232
638,3341,13255,13255,3341,0,958206
639,51623,206246,206246,51623,0,15033340
640,287,1120,1120,287,0,94446
641,661,2647,2647,661,0,183337
642,35199,140545,140545,35199,0,11130046
643,33391,133609,133609,33391,0,10072715
644,5851,23340,23340,5851,0,1588921
645,15387,61566,61566,15387,0,4087216
646,43964,175547,175547,43964,0,13247047
647,2849,11284,11284,2849,0,758495
648,14923,59792,59792,14923,0,4011191
649,5009,19981,19981,5009,0,1329851
650,76083,304072,304072,76083,0,23843749
651,66038,264331,264331,66038,0,21278493
652,125651,502565,502565,125651,0,38227076
653,3041,12199,12199,3041,0,871655
654,47671,190856,190856,47671,0,14554091
655,8169,32574,32574,8169,0,2258232
656,47023,188118,188118,47023,0,13837702
657,34235,137132,137132,34235,0,10028854
658,31984,127655,127655,31984,0,9209247
659,37017,147720,147720,37017,0,11784737
660,14149,56459,56459,14149,0,3847445
661,17764,70772,70772,17764,0,4988696
662,291,1125,1125,291,0,92692
663,41442,165450,165450,41442,0,12695574
664,11637,46633,46633,11637,0,3130180
665,42049,168221,168221,42049,0,12301707
